example_id,package_commit,split,language,domain,task_type,difficulty,provenance_type,content_family_id,prompt,response,scenario_brief,content_risk_status,content_risk_severity,content_risk_rule_id,content_risk_rule_description,content_risk_field,content_risk_excerpt,reviewer_attention_required,integrity_flags,reviewer_name,reviewer_experience,review_date,accuracy_score,fluency_score,gcc_appropriateness_score,domain_terminology_score,factuality_score,verdict,corrected_wording,rejection_reason,comments
seed4b-valid-0010,266aa071e7293e7d0513d716e19b43d5a693ce5c,valid,en,gcc_banking,regulatory_explanation,intermediate,PUBLIC_RULE_SUMMARY,GB-BENCH-001,Explain the Net Stable Funding Ratio (NSFR) under Basel III and why it differs from the Liquidity Coverage Ratio.,"The Net Stable Funding Ratio (NSFR) measures a bank's ability to fund its activities with stable sources of funding over a one-year horizon. The NSFR is calculated as Available Stable Funding (ASF) divided by Required Stable Funding (RSF), and must be at least 100%. ASF includes equity, long-term liabilities, and stable retail deposits. RSF includes illiquid assets, long-term loans, and off-balance-sheet commitments. The NSFR differs from the Liquidity Coverage Ratio (LCR) in time horizon: the LCR measures the ability to survive a 30-day stress scenario using high-quality liquid assets, while the NSFR addresses structural funding mismatches over one year. Both ratios are part of the Basel III liquidity framework.","Task: Explain the Net Stable Funding Ratio (NSFR) under Basel III. Core facts: NSFR measures long-term liquidity resilience. Required reasoning: Explain the ASF/RSF framework and the 100% minimum. Expected knowledge: Available stable funding, required stable funding, one-year horizon. Risk: Confusing NSFR with LCR (which measures short-term liquidity). Distinct from GB-TRAIN-001: NSFR liquidity metric, not capital adequacy.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0015,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,islamic_finance,regulatory_explanation,intermediate,PUBLIC_RULE_SUMMARY,IF-TRAIN-016,ما الإطار التنظيمي الذي يحكم البنوك الإسلامية في الكويت وما أبرز متطلباته؟,تخضع البنوك الإسلامية في الكويت لإشراف بنك الكويت المركزي وفق قانون تنظيم البنوك الإسلامية. يُلزم الإطار التنظيمي البنوكَ بتشكيل هيئات رقابة شرعية مستقلة لا تقل عن ثلاثة أعضاء مؤهلين، والالتزام بمعايير أيوفي أو المعايير المحلية المعتمدة من البنك المركزي. يشترط الإطار أيضاً الإفصاح الدوري عن الأداء الشرعي في التقارير السنوية. يُنصح بمراجعة أحدث التعاميم الصادرة عن البنك المركزي للتحقق من المتطلبات الحالية.,"Task: Explain the regulatory framework for Islamic banks in Kuwait. Core facts: CBK regulates Islamic banks under a specific law. Required reasoning: Identify the key requirements: Sharia board, AAOIFI compliance, disclosure. Expected knowledge: CBK oversight, minimum Sharia board size, periodic disclosure. Risk: Describing the framework as identical to conventional bank regulation. Distinct from others: Kuwait-specific regulatory context.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-valid-0005,266aa071e7293e7d0513d716e19b43d5a693ce5c,valid,ar,islamic_finance,document_summarization,intermediate,PUBLIC_RULE_SUMMARY,IF-BENCH-006,لخّص المبادئ الأساسية للتأمين التكافلي وفق معايير هيئة أيوفي.,تُحدّد معايير أيوفي للتأمين التكافلي ثلاثة مبادئ جوهرية: أولاً: التبرع (Tabarru) — يُودع كل مشترك جزءاً من قسطه في صندوق التبرع المشترك لتغطية الأضرار. ثانياً: نماذج إدارة الصندوق — تُجيز أيوفي ثلاثة نماذج: الوكالة حيث يتقاضى المشغّل رسوماً ثابتة، والمضاربة حيث يُشارك في الأرباح، والنموذج الهجين الجامع بينهما. ثالثاً: توزيع الفائض — يُوزَّع الفائض في صندوق التبرع على المشتركين وفق السياسة المعتمدة، ولا يجوز للمشغّل الاستئثار به. يُنصح بمراجعة المعيار الكامل والهيئة الشرعية للتطبيق الفعلي.,"Task: Summarize the key principles of Takaful under AAOIFI standards. Core facts: AAOIFI has specific standards for Takaful operators. Required reasoning: Identify the three models: Wakala, Mudaraba, hybrid. Expected knowledge: Tabarru concept, surplus distribution, investment of funds. Risk: Describing only one Takaful model without the alternatives. Distinct from IF-TRAIN-011: Summary of AAOIFI principles, not a translation task.",REVIEW_REQUIRED,REVIEW_REQUIRED,GCC_TRIP_AR,Arabic GCC trip phrase: يُنصح بمراجعة — advisory language that may imply the model is uncertain about current regulations. Requires human reviewer judgment on accuracy and appropriateness.,response,لا يجوز للمشغّل الاستئثار به. يُنصح بمراجعة المعيار الكامل والهيئة الشرعية للتطبيق الفعلي.,True,REVIEW_REQUIRED_CONTENT_RISK,,,,,,,,,,,,
seed4b-train-0010,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar-en,islamic_finance,arabic_english_translation,intermediate,TRANSLATION_OR_CORRESPONDENCE,IF-TRAIN-011,Translate 'Takaful' into Arabic and explain the three elements of conventional insurance that it avoids.,"الترجمة: تكافل.

التعريف بالعربية: التكافل نظام تأمين إسلامي يقوم على مبدأ التبرع والتعاون المتبادل بين المشتركين، إذ يُودع كل مشترك جزءاً من قسطه في صندوق مشترك لتغطية الأضرار.

The three prohibited elements avoided by Takaful:
1. Riba (interest): Takaful funds are invested in Sharia-compliant assets only.
2. Gharar (excessive uncertainty): The tabarru (donation) structure replaces the uncertain exchange of conventional insurance.
3. Maysir (gambling): Participants contribute to a mutual fund rather than wagering on uncertain events for profit.","Task: Translate 'Takaful' and explain how it differs from conventional insurance. Core facts: Takaful is based on mutual donation and cooperation. Required reasoning: Identify the three prohibited elements in conventional insurance. Expected knowledge: Riba, gharar, maysir prohibition; tabarru concept. Risk: Describing Takaful as merely 'Islamic insurance' without the structural differences. Distinct from IF-TRAIN-009/010: Different term requiring explanation of three prohibited elements.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-eval-0016,266aa071e7293e7d0513d716e19b43d5a693ce5c,eval,ar,arabic_english_correspondence,refusal_missing_info,basic,SAFETY_OR_REFUSAL,AC-BENCH-004,هل يمكنك ترجمة وثيقتي إلى الإنجليزية دون أن أُرسل لك النص؟,لا يمكنني إجراء أي ترجمة دون الاطلاع على النص الأصلي. لتقديم ترجمة دقيقة وملائمة، أحتاج إلى: أولاً: النص الكامل للوثيقة المراد ترجمتها. ثانياً: اللغة المستهدفة (الإنجليزية في هذه الحالة). ثالثاً: مستوى الرسمية المطلوب (رسمي، قانوني، تجاري، أو عام). رابعاً: الغرض من الترجمة حتى أتمكن من اختيار المصطلحات الأنسب للسياق. يُرجى إرسال النص وسأبدأ العمل فوراً.,"Task: Refuse to translate a document without seeing it. Core facts: Translation quality depends on the source text. Required reasoning: Explain what is needed before translation can begin. Expected knowledge: Source text, target language, formality level, purpose. Risk: Producing a generic template that does not match the actual document. Distinct from AC-TRAIN-007: Translation refusal, not letter-writing refusal.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0042,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,en,government_regulation,risk_identification,advanced,ORIGINAL_SCENARIO,GR-TRAIN-004,What are the key regulatory risks for a fictional foreign company establishing a branch in Kuwait?,"Key regulatory risks for a fictional foreign company entering Kuwait: (1) Commercial agency requirements: Certain commercial activities require a Kuwaiti commercial agent, which creates dependency and potential conflicts of interest. (2) Foreign ownership restrictions: Some sectors restrict or prohibit foreign equity participation, requiring joint venture structures with Kuwaiti partners. (3) Labour nationalisation quotas: Companies must meet prescribed Kuwaiti employee ratios (Kuwaitisation), which can constrain hiring flexibility. (4) Regulatory approval timelines: Licensing processes can be lengthy and unpredictable, delaying market entry. (5) Dispute resolution: Commercial disputes may be subject to Kuwaiti courts unless international arbitration is explicitly agreed in contracts. Legal counsel familiar with Kuwaiti commercial law should be engaged before market entry. Note: This analysis uses a fictional company for training purposes.","Task: Identify regulatory risks for a fictional foreign company entering Kuwait. Core facts: Fictional foreign company seeking to establish a branch. Required reasoning: Identify five distinct regulatory risk categories. Expected knowledge: Commercial agency, foreign ownership, Kuwaitisation, licensing, dispute resolution. Risk: Omitting the commercial agency requirement which is specific to Kuwait. Distinct from GR-TRAIN-001: Entry risks, not procurement regulation.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0055,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,executive_decision,objection_handling,intermediate,ORIGINAL_SCENARIO,ED-TRAIN-004,كيف يمكن الرد على اعتراض أحد أعضاء مجلس الإدارة بأن الاستثمار في الذكاء الاصطناعي مكلف للغاية؟,يمكن معالجة هذا الاعتراض المشروع من خلال أربعة محاور: أولاً: التمييز بين تكاليف تدريب النماذج الكبرى وتكاليف تبني حلول الذكاء الاصطناعي الجاهزة الأكثر اقتصادية والمتاحة بنماذج اشتراك. ثانياً: تقديم حالات استخدام محددة مع تقدير عائد الاستثمار المتوقع وفق معطيات الشركة الفعلية. ثالثاً: اقتراح نهج تدريجي يبدأ بمشاريع تجريبية محدودة التكلفة لإثبات القيمة قبل التوسع. رابعاً: الإشارة إلى تكلفة عدم الاستثمار في ظل تنامي اعتماد المنافسين على هذه التقنيات، مما قد يُؤدي إلى فجوة تنافسية يصعب تضييقها لاحقاً. ملاحظة: هذا سيناريو افتراضي لأغراض التدريب.,"Task: Respond to a board member's objection that AI investment is too expensive. Core facts: Board member is concerned about ROI of AI investment. Required reasoning: Provide four counter-arguments addressing cost, ROI, and competitive risk. Expected knowledge: Cost of inaction, pilot approach, pre-built solutions vs training. Risk: Dismissing the objection without acknowledging legitimate cost concerns. Distinct from IF-TRAIN-022: AI investment objection, not Islamic finance objection.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0041,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,government_regulation,question_answering,basic,PUBLIC_RULE_SUMMARY,GR-TRAIN-003,ما دور ديوان المحاسبة في الكويت وما صلاحياته الرقابية على الإنفاق العام؟,ديوان المحاسبة في الكويت هو الجهاز الرقابي المالي الأعلى في الدولة، ويختص بمراجعة الحسابات الختامية للجهات الحكومية والتحقق من صحة الإنفاق العام ومدى مطابقته للقوانين. يرفع الديوان تقاريره السنوية إلى مجلس الأمة مباشرةً، مما يُعزز استقلاليته عن السلطة التنفيذية. يُسهم الديوان في تعزيز الشفافية والمساءلة في إدارة المال العام من خلال تدقيق العقود الحكومية الكبرى. تستند هذه المعلومات إلى البيانات المتاحة للعموم ولا تُعدّ تفسيراً قانونياً رسمياً.,"Task: Explain the role of Kuwait's Audit Bureau. Core facts: The Audit Bureau is Kuwait's supreme audit institution. Required reasoning: Identify the Bureau's mandate and reporting line. Expected knowledge: Financial audit of government entities, reporting to parliament. Risk: Confusing the Audit Bureau with the Ministry of Finance. Distinct from GR-TRAIN-001: Audit oversight, not procurement regulation.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-train-0049,266aa071e7293e7d0513d716e19b43d5a693ce5c,train,ar,energy_logistics,document_summarization,intermediate,PUBLIC_RULE_SUMMARY,EL-TRAIN-004,لخّص أهمية الموانئ الخليجية الكبرى في سلاسل الإمداد الإقليمية والدولية.,تُشكّل الموانئ الخليجية الكبرى عقداً محورية في سلاسل الإمداد الإقليمية والدولية. يتصدّر ميناء جبل علي في دبي هذه الموانئ بوصفه أكبر ميناء في الشرق الأوسط وأفريقيا. تُوفر هذه الموانئ ثلاث وظائف رئيسية: أولاً: خدمات اللوجستيات المتكاملة بما تشمل التخزين والتوزيع وإعادة التصدير. ثانياً: المناطق الحرة التي تُقدّم إعفاءات جمركية وضريبية لجذب الاستثمار. ثالثاً: ربط الممرات التجارية بين آسيا وأفريقيا وأوروبا. تستند هذه المعلومات إلى بيانات متاحة للعموم.,"Task: Summarize the importance of major GCC ports in regional supply chains. Core facts: Jebel Ali, King Abdullah Port, and Shuwaikh are key GCC ports. Required reasoning: Explain the three functions: logistics hub, free zones, transit. Expected knowledge: Port infrastructure, free zone benefits, Asia-Africa-Europe trade. Risk: Describing only one port without the regional context. Distinct from EL-TRAIN-001: Logistics focus, not energy.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-eval-0011,266aa071e7293e7d0513d716e19b43d5a693ce5c,eval,ar,executive_decision,question_answering,intermediate,ORIGINAL_SCENARIO,ED-BENCH-002,ما الاعتبارات الرئيسية لمعايير الحوكمة والمسؤولية الاجتماعية والبيئية (ESG) لشركة كويتية مدرجة افتراضية؟,تشمل الاعتبارات الرئيسية لمعايير ESG لشركة كويتية مدرجة افتراضية ثلاثة أبعاد: أولاً: البُعد البيئي — الإفصاح عن بصمة الكربون واستهلاك الطاقة والمياه، والالتزام بالمعايير البيئية المحلية والدولية. ثانياً: البُعد الاجتماعي — تطبيق سياسات عادلة في التوظيف والتدريب والسلامة المهنية، والمساهمة في برامج المسؤولية الاجتماعية المجتمعية. ثالثاً: بُعد الحوكمة — الالتزام بمعايير الحوكمة الصادرة عن هيئة أسواق المال الكويتية، بما تشمل استقلالية مجلس الإدارة وسياسات مكافحة الفساد والإفصاح المالي. ملاحظة: هذا سيناريو افتراضي لأغراض التدريب.,"Task: Identify key ESG considerations for a fictional Kuwaiti listed company. Core facts: Fictional company subject to Kuwait Stock Exchange ESG requirements. Required reasoning: Identify three ESG dimensions relevant to GCC listed companies. Expected knowledge: Environmental disclosure, social responsibility, governance standards. Risk: Applying European ESG standards directly without GCC context. Distinct from ED-TRAIN-003: ESG considerations, not family business risks.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
seed4b-valid-0006,266aa071e7293e7d0513d716e19b43d5a693ce5c,valid,ar-en,islamic_finance,structured_extraction,advanced,ORIGINAL_SCENARIO,IF-BENCH-007,"Extract the key risk factors from this fictional Mudaraba fund prospectus:
Fund: Gulf Mudaraba Growth Fund (fictional). Manager: Al Noor AM (fictional). Capital: USD 100M. Horizon: 5 years. Target return: 8-12% per annum.","| عامل المخاطرة / Risk Factor | الوصف / Description |
|---|---|
| تقلبات السوق / Market volatility | العوائد تعتمد على أداء الأصول الأساسية ولا يوجد ضمان |
| مخاطر الامتثال الشرعي / Sharia compliance | قد تُطعن في الهيكل تفسيرات فقهية مختلفة |
| أداء المضارب / Manager performance | العوائد تعتمد على مهارة وحكم المضارب |
| خسارة رأس المال / Capital loss | الخسارة المالية تقع على رب المال في المضاربة |
| مخاطر السيولة / Liquidity risk | أجل 5 سنوات يُقيّد خيارات الخروج المبكر |

Note: All entities are fictional and for training purposes only.","Task: Extract key terms from a fictional Mudaraba fund prospectus. Core facts: Fictional fund with specific size, horizon, and target return. Required reasoning: Identify and tabulate the key risk factors. Expected knowledge: Market risk, Sharia risk, manager risk, capital loss, liquidity. Risk: Omitting the capital loss risk which is specific to Mudaraba. Distinct from IF-TRAIN-024: Mudaraba fund, not Ijarah Sukuk.",NONE,NONE,,,,,False,OK,,,,,,,,,,,,
